workload_id,phase_id,config_id,energy_total_pj,energy_pj_per_output,latency_cycles,area_m2,cosine_similarity,sqnr_db,effective_bits_per_weight,compression_vs_fp16,meets_accuracy_floor
LLM,decode,C8,85495321.6,7766.653488372092,881496.0,3.8959712e-07,0.9807396152570264,14.147283536356507,5.0,3.2,yes
LLM,prefill,C1,7414320005.12,5262.025348837209,377651200.0,3.8925712e-07,0.9842831098792628,15.001680165730741,4.25,3.764705882352941,yes
VLA,decode,C8,2020019.2,7890.7,21000.0,3.8959712e-07,0.9949904432318183,19.74923385134682,5.0,3.2,yes
VLA,prefill,C9,205212851.07999998,6262.59921508789,9375745.0,3.8942712e-07,0.9895269430344077,16.251392615216957,4.5000152587890625,3.555543499269276,yes
VLM,decode,C1,17071835.52,5557.238125,175296.0,3.8925712e-07,0.9873978898275869,16.009903923189242,4.25,3.764705882352941,yes
VLM,prefill,C1,1553984962.56,3951.988125,79060992.0,3.8925712e-07,0.9836317607820461,14.556055438656767,4.25,3.764705882352941,yes
