suite,run_id,status,workload_id,phase_id,config_id,arch_id,m,n,k,num_quantmac,num_rescalemac,energy_pj,energy_total_pj,energy_pj_per_output,latency_cycles,area_m2,bottleneck_component,workload_file,arch_file,mapping_file,breakdown_file,hardware_model,error,duration_s
proposal,proposal__llm__prefill__c0__baseline,ok,LLM,prefill,C0,baseline,128,11008,4096,1,1,5476142284.8,5476142284.8,3886.479069767442,360710144.0,3.9067712000000004e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c0__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c0__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c0__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c0__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,156.203
proposal,proposal__llm__prefill__c1__baseline,ok,LLM,prefill,C1,baseline,128,11008,4096,1,1,7414320005.12,7414320005.12,5262.025348837209,377651200.0,3.8925712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c1__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c1__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c1__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c1__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,897.624
proposal,proposal__llm__prefill__c2__baseline,ok,LLM,prefill,C2,baseline,128,11008,4096,1,1,10246752829.439999,10246752829.439999,7272.23441860465,394592256.0,3.8925712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c2__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c2__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c2__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c2__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,864.868
proposal,proposal__llm__prefill__c3__baseline,ok,LLM,prefill,C3,baseline,128,11008,4096,1,1,11066543308.8,11066543308.8,7854.048837209301,394593280.0,3.8959712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c3__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c3__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c3__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c3__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,857.337
proposal,proposal__llm__prefill__c4__baseline,ok,LLM,prefill,C4,baseline,128,11008,4096,1,1,13141517926.4,13141517926.4,9326.681395348836,394594304.0,3.9067712000000004e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c4__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c4__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c4__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c4__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,866.705
proposal,proposal__llm__prefill__c5__baseline,ok,LLM,prefill,C5,baseline,128,11008,4096,1,1,14075126082.44,14075126082.44,9989.273484653208,439901185.0,3.8942712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c5__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c5__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c5__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c5__baseline/breakdown.json,compact_two_level_inference,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,1582.422
proposal,proposal__llm__prefill__c6__baseline,ok,LLM,prefill,C6,baseline,128,11008,4096,1,1,14789075921.8,14789075921.8,10495.97162418809,439989249.0,3.8959712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c6__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c6__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c6__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c6__baseline/breakdown.json,compact_two_level_inference,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,1527.698
proposal,proposal__llm__prefill__c7__baseline,ok,LLM,prefill,C7,baseline,128,11008,4096,1,1,17714605578.0,17714605578.0,12572.252550701762,439901185.0,3.9067712000000004e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c7__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c7__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c7__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c7__baseline/breakdown.json,compact_two_level_inference,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,1612.713
proposal,proposal__llm__prefill__c8__baseline,ok,LLM,prefill,C8,baseline,128,11008,4096,1,1,7459441868.8,7459441868.8,5294.048837209302,377684992.0,3.8959712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c8__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c8__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c8__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c8__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,891.987
proposal,proposal__llm__prefill__c9__baseline,ok,LLM,prefill,C9,baseline,128,11008,4096,1,1,8636293442.44,8636293442.44,6129.273484653208,400404481.0,3.8942712e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c9__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c9__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c9__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__prefill__c9__baseline/breakdown.json,compact_two_level_inference,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,1679.511
