workload_id,alpha_prefill,adaptive_prefill_config,adaptive_decode_config,adaptive_energy_pj,fixed_nvfp4_energy_pj,best_fixed_config,best_fixed_energy_pj,adaptive_vs_nvfp4_pct,adaptive_vs_best_fixed_pct
LLM,0.2,C1,C8,1551260258.3040001,3674444474.0000005,C8,1560284631.0400002,57.78245475525453,0.5783799030299305
LLM,0.3,C1,C8,2284142726.6559997,5429464612.0,C8,2297679285.7599998,57.93060845064405,0.5891404944064083
LLM,0.5,C1,C8,3749907663.36,8939504888.0,C8,3772468595.2000003,58.05240099601363,0.5980416077871701
LLM,0.8,C1,C8,5948555068.416,14204565302.000002,C8,5984652559.360001,58.122230832516614,0.6031676958012164
VLA,0.2,C9,C8,42658585.576,86350866.00000001,C8,46348922.88,50.59854341703997,7.962077810426141
VLA,0.3,C9,C8,62977868.76399999,127599056.99999999,C8,68513374.72,50.64393872127127,8.079453068284078
VLA,0.5,C9,C8,103616435.13999999,210095439.0,C8,112842278.39999999,50.681254370305496,8.175874672874388
VLA,0.8,C9,C8,164574284.704,333840012.00000006,C8,179335633.92000002,50.70264833803086,8.231130028840182
VLM,0.2,C1,C1,324454460.92800003,805194580.2400001,C1,324454460.92800003,59.70483794969266,0.0
VLM,0.3,C1,C1,478145773.63199997,1190575748.56,C1,478145773.63199997,59.83911362126125,0.0
VLM,0.5,C1,C1,785528399.04,1961338085.2,C1,785528399.04,59.94936288814794,0.0
VLM,0.8,C1,C1,1246602337.1520002,3117481590.1600003,C1,1246602337.1520002,60.01251968618618,0.0
