m,fp16_energy_pj,c7_energy_pj,c7_vs_fp16_energy,c7_rescale_pct,c7_vs_ideal_energy,c7_latency_vs_fp16,c1_vs_c7_energy
128,20198866944.0,17714605578.0,0.8770098653113837,74.11462738693555,3.2348694859828635,4.8781681615252825,0.4185427653172217
256,40397733888.0,35429211146.0,0.877009865063845,74.11462737962933,3.234869485069812,4.8781681559806644,0.4185427654353566
512,80795467776.0,70858422292.0,0.877009865063845,74.11462737962933,3.234869485069812,4.753175782602887,0.4185450776516705
1024,161590935552.0,141725462538.0,0.8770631969785998,74.11509160496567,3.235066200968336,4.627252624478451,0.41851962702225265
2048,323181871104.0,292129529866.0,0.9039168220298862,74.14645619172983,3.334116366425242,4.627191588629124,0.4060862162628186
