suite,run_id,status,workload_id,phase_id,config_id,arch_id,m,n,k,num_quantmac,num_rescalemac,energy_pj,latency_cycles,area_m2,bottleneck_component,workload_file,arch_file,mapping_file,breakdown_file,error
milestone3,milestone3__llm__decode__c1__q1_r1,generated_only,LLM,decode,C1,q1_r1,1,11008,4096,1,1,,,,,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r1/workload.yaml,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r1/arch.yaml,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r1/mapping.yaml,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r1/breakdown.json,accelforge unavailable: No module named 'accelforge'
milestone3,milestone3__llm__decode__c1__q1_r2,generated_only,LLM,decode,C1,q1_r2,1,11008,4096,1,2,,,,,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r2/workload.yaml,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r2/arch.yaml,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r2/mapping.yaml,/n/holylabs/ydu_lab/Lab/wxiong/Hardware-for-quantization/workspace/lab_4/project4_m1/generated/milestone3/milestone3__llm__decode__c1__q1_r2/breakdown.json,accelforge unavailable: No module named 'accelforge'
