suite,run_id,status,workload_id,phase_id,config_id,m_eval,n_eval,k_eval,cosine_similarity,sqnr_db,mse,reference_norm,input_source,error,duration_s
proposal,proposal__vla__decode__c2__baseline,ok,VLA,decode,C2,1,16,4096,0.9389937553085116,9.187722635532683,0.11464614878311638,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.216
proposal,proposal__vla__decode__c3__baseline,ok,VLA,decode,C3,1,16,4096,0.9950218342525547,19.7615277427322,0.010045671207129165,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.255
proposal,proposal__vla__decode__c4__baseline,ok,VLA,decode,C4,1,16,4096,0.9950179877018738,19.75551456855583,0.010059589921590437,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.212
proposal,proposal__vla__decode__c5__baseline,ok,VLA,decode,C5,1,16,4096,0.9676012948690755,11.727616507527419,0.06388076129906976,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.255
proposal,proposal__vla__decode__c6__baseline,ok,VLA,decode,C6,1,16,4096,0.9952908700734892,19.927841622811485,0.009668243318712794,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.249
proposal,proposal__vla__decode__c7__baseline,ok,VLA,decode,C7,1,16,4096,0.9952510266743958,19.957074927126143,0.009603382814182342,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.241
proposal,proposal__vla__decode__c8__baseline,ok,VLA,decode,C8,1,16,4096,0.9949904432318183,19.74923385134682,0.010074148510368456,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.301
proposal,proposal__vla__decode__c9__baseline,ok,VLA,decode,C9,1,16,4096,0.967737097381142,11.746913688544538,0.06359754702319939,3.9005500802897988,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.253
proposal,proposal__vla__prefill__c0__baseline,ok,VLA,prefill,C0,4,16,4096,0.0,0.0,1.1985144106759897,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.205
proposal,proposal__vla__prefill__c1__baseline,ok,VLA,prefill,C1,4,16,4096,0.9710757132006643,12.30022282879128,0.0705701397363595,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.244
proposal,proposal__vla__prefill__c2__baseline,ok,VLA,prefill,C2,4,16,4096,0.9730520691304114,12.404595053965991,0.0688943734506286,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.245
proposal,proposal__vla__prefill__c3__baseline,ok,VLA,prefill,C3,4,16,4096,0.9931895892319119,18.317416068348333,0.017656379443160227,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.28
proposal,proposal__vla__prefill__c4__baseline,ok,VLA,prefill,C4,4,16,4096,0.9931564886939792,18.28447735292597,0.01779080194586606,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.256
proposal,proposal__vla__prefill__c5__baseline,ok,VLA,prefill,C5,4,16,4096,0.9894640223092358,16.232512465346044,0.02853592886604853,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.254
proposal,proposal__vla__prefill__c6__baseline,ok,VLA,prefill,C6,4,16,4096,0.9933909638408365,18.42954560659217,0.01720634789318401,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.236
proposal,proposal__vla__prefill__c7__baseline,ok,VLA,prefill,C7,4,16,4096,0.9932260928946883,18.350605591096183,0.017521960669066413,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.239
proposal,proposal__vla__prefill__c8__baseline,ok,VLA,prefill,C8,4,16,4096,0.9932392635939715,18.33536087219435,0.01758357479183106,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.419
proposal,proposal__vla__prefill__c9__baseline,ok,VLA,prefill,C9,4,16,4096,0.9895269430344077,16.251392615216957,0.028412143451809913,8.758134634913038,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vla_action_head.npz,,0.411
proposal,proposal__vlm__decode__c0__baseline,ok,VLM,decode,C0,1,16,3072,0.0,0.0,0.5911638310800617,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.789
proposal,proposal__vlm__decode__c1__baseline,ok,VLM,decode,C1,1,16,3072,0.9873978898275869,16.009903923189242,0.014815539224465428,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.648
proposal,proposal__vlm__decode__c2__baseline,ok,VLM,decode,C2,1,16,3072,0.9871937200106838,15.87455692592561,0.015284532592532913,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.762
proposal,proposal__vlm__decode__c3__baseline,ok,VLM,decode,C3,1,16,3072,0.9942370803235984,19.23346184191803,0.007052801660627713,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.814
proposal,proposal__vlm__decode__c4__baseline,ok,VLM,decode,C4,1,16,3072,0.9943150944364267,19.31380552763248,0.006923525597168248,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.753
proposal,proposal__vlm__decode__c5__baseline,ok,VLM,decode,C5,1,16,3072,0.9868547107213814,15.74522279076791,0.015746555777291716,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.655
proposal,proposal__vlm__decode__c6__baseline,ok,VLM,decode,C6,1,16,3072,0.9944465813128053,19.421147774351454,0.0067544980013886525,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.641
proposal,proposal__vlm__decode__c7__baseline,ok,VLM,decode,C7,1,16,3072,0.9943780910427665,19.32095219063359,0.006912141751213318,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.698
proposal,proposal__vlm__decode__c8__baseline,ok,VLM,decode,C8,1,16,3072,0.994258610860113,19.26446315655585,0.007002635793137597,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.827
proposal,proposal__vlm__decode__c9__baseline,ok,VLM,decode,C9,1,16,3072,0.9868875554380131,15.75427211265823,0.015713779100872027,3.075487164219839,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.752
proposal,proposal__vlm__prefill__c0__baseline,ok,VLM,prefill,C0,4,16,3072,0.0,0.0,0.7556735288101413,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.764
proposal,proposal__vlm__prefill__c1__baseline,ok,VLM,prefill,C1,4,16,3072,0.9836317607820461,14.556055438656767,0.0264684594878613,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.75
proposal,proposal__vlm__prefill__c2__baseline,ok,VLM,prefill,C2,4,16,3072,0.9797020111338858,13.585314782219562,0.03309807463599747,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.913
proposal,proposal__vlm__prefill__c3__baseline,ok,VLM,prefill,C3,4,16,3072,0.9943309197648662,19.383310012507035,0.008709700233776386,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.79
proposal,proposal__vlm__prefill__c4__baseline,ok,VLM,prefill,C4,4,16,3072,0.994367304594034,19.409021988970505,0.008658287654291417,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.715
proposal,proposal__vlm__prefill__c5__baseline,ok,VLM,prefill,C5,4,16,3072,0.9863695013016536,15.661962578198443,0.020518138232015114,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.77
proposal,proposal__vlm__prefill__c6__baseline,ok,VLM,prefill,C6,4,16,3072,0.994460648041373,19.472223778997712,0.008533198164677055,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.808
proposal,proposal__vlm__prefill__c7__baseline,ok,VLM,prefill,C7,4,16,3072,0.9944105640554237,19.438214514310598,0.00860028330539162,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.785
proposal,proposal__vlm__prefill__c8__baseline,ok,VLM,prefill,C8,4,16,3072,0.9943301694150033,19.380413974810295,0.008715510123874259,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.841
proposal,proposal__vlm__prefill__c9__baseline,ok,VLM,prefill,C9,4,16,3072,0.9863379139840402,15.650852298259315,0.02057069568061199,6.9543587658280215,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/vlm_vision_gemm.npz,,0.922
